"Позиция ";"Наименование и техническая характеристика";"Тип, марка,

обозначение документа,

опросного листа";"Код оборудования,

изделия,

материала";"Завод-изготовитель";" Единица

измерения";"Количе-

ство";"Масса единицы, кг";"Примечание"
"1";"2";"3";"4";"5";"6";"7";"8";"9"
 ;"Тепловая сеть";" ";" ";" ";" ";" ";" "; 
"1";"Труба 325х8,0-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"м";"107,20";"68,40"; 
"2";"Труба 273х7,0-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"м";"149,20";"57,20"; 
"3";"Труба 203х10,6/315 ППУ-ПЭ Р 1,0 МПа";"ИЗОПРОФЛЕКС-95А";" ";" ";"м";"53,60";"14,30"; 
"4";"Труба 110х15,1/160 ППУ-ПЭ Р 1,0 МПа";"ИЗОПРОФЛЕКС-95А"; ; ;"м";"53,60";"4,57"; 
"5";"Труба 144х7,5/225 ППУ-ПЭ Р 1,0 МПа";"ИЗОПРОФЛЕКС-95А"; ; ;"м";"74,60";"7,18"; 
"6";"Труба 101х6,5/160 ППУ-ПЭ Р 1,0 МПа";"ИЗОПРОФЛЕКС-95А"; ; ;"м";"74,60";"3,87"; 
"7";"Неподвижная опора 325х8,0-650х40-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"2,00";"367,80"; 
"8";"Неподвижная опора 273х7,0-550х30-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"4,00";"275,30"; 
"9";"Z-образный элемент трубопровода Ст20 273х8 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020"; ; ;"шт.";"2,00";"207,70"; 
"10";"П-образный элемент трубопровода Ст 325х9,0(5)-1-ППУ-ПЭ/450";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"2,00";"207,70"; 
"11";"Отвод УК 325х9,0-90°-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"4,00";"84,00"; 
"12";"Переход Ст 325х9,0/273х8,0 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020"; ; ;"шт.";"2,00";"92,00"; 
"13";"Маты компенсационные 1000х2000х40";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"16,00";" "; 
"14";"Песок строительный";"ГОСТ 8736-2014"; ; ;"м3";"267,20"; ; 
"15";"КЗС(Т) 325х450";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"26,00";" "; 
"16";"КЗС(Т) 273х400";"ГОСТ 10704/ГОСТ 30732-2020";" ";" ";"шт.";"24,00";" "; 
 ; ; ; ; ; ; ; ; 
 ;"Тепловая камера 8014"; ; ; ; ; ; ; 
"17";"Кран шаровой с воздушником 89х5,0/160 ППУ-ПЭ Н=570";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"29,70"; 
"18";"Кран шаровой с воздушником 57х5,0/125 ППУ-ПЭ Н=554";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"18,50"; 
"19";"Кран шаровой с воздушником 32х5,0/110 ППУ-ПЭ Н=541";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"12,70"; 
"20";"Кран шаровой 45х5,0/125 ППУ-ПЭ Н=548";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"3,00";"11,00"; 
"21";"Кран шаровой  32х5,0/110 ППУ-ПЭ Н=541";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"8,00"; 
"22";"Труба 89х4,0/180-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020



"; ; ;"м.";"8,86";"10,80"; 
"23";"Труба 57х4,0-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020



"; ; ;"м.";"6,51";"5,60"; 
"24";"Труба 32х3,5-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020



"; ; ;"м.";"6,81";"5,60"; 
"25";"Труба 45*4,0 ГОСТ 8734-75/В Ст 20 ГОСТ 8731-74";"ГОСТ 8731-74/ГОСТ 8732-78



"; ; ;"м.";"1,30";"4,00"; 
"26";"Труба 32*3,0 ГОСТ 8734-75/В Ст 20 ГОСТ 8731-74";"ГОСТ 8731-74/ГОСТ 8732-78



"; ; ;"м.";"1,30";"3,20"; 
"27";"Отвод 89х6,0-90°-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020



"; ; ;"шт";"2,00";"12,50"; 
"28";"Отвод 90 D57 PEX-a";"Изопрофлекс 95 А"; ; ;"шт";"1,00"; ; 
"29";"Отвод 90 D32 PEX-a";"Изопрофлекс 95 А"; ; ;"шт";"1,00"; ; 
"30";"Отвод 90-45х5,0-Ст20";"ГОСТ 17375-2001"; ; ;"шт";"3,00";"0,24"; 
"31";"Отвод 90-32х3,6-Ст20";"ГОСТ 17375-2001"; ; ;"шт";"1,00";"0,13"; 
"32";"Тройниковое ответвление 325х8,0/89х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"131,70"; 
